Medicine Name,Bengali Name,Category,Uses,Side Effects,Dosage,Price (BDT),Availability
Paracetamol,প্যারাসিটামল,Pain Relief,জ্বর ও ব্যথা কমায়,"পেটে ব্যথা, বমি বমি ভাব",500-1000mg 4-6 ঘণ্টা পর,2.50,Available
Ibuprofen,আইবুপ্রোফেন,Pain Relief,ব্যথা ও প্রদাহ কমায়,"পেটে ব্যথা, মাথা ব্যথা",200-400mg 4-6 ঘণ্টা পর,5.00,Available
Omeprazole,ওমেপ্রাজোল,Gastric,গ্যাস্ট্রিক সমস্যা সমাধান,"মাথা ব্যথা, বমি বমি ভাব",20mg দিনে একবার,8.00,Available
Metformin,মেটফরমিন,Diabetes,ডায়াবেটিস নিয়ন্ত্রণ,"বমি বমি ভাব, ডায়রিয়া",500mg দিনে দুইবার,3.50,Available
Amlodipine,অ্যামলোডিপাইন,Blood Pressure,উচ্চ রক্তচাপ নিয়ন্ত্রণ,"মাথা ব্যথা, ফুলে যাওয়া",5-10mg দিনে একবার,6.00,Available
Atorvastatin,অ্যাটরভাস্ট্যাটিন,Cholesterol,কোলেস্টেরল কমায়,"মাংসপেশিতে ব্যথা, পেটে ব্যথা",10-20mg দিনে একবার,12.00,Available
Cetirizine,সিটিরিজিন,Allergy,অ্যালার্জি প্রতিরোধ,"ঘুম ঘুম ভাব, শুষ্ক মুখ",10mg দিনে একবার,4.00,Available
Ranitidine,রানিটিডিন,Gastric,গ্যাস্ট্রিক অ্যাসিড কমায়,"মাথা ব্যথা, বমি বমি ভাব",150mg দিনে দুইবার,3.00,Available
Diclofenac,ডিক্লোফেনাক,Pain Relief,ব্যথা ও প্রদাহ কমায়,"পেটে ব্যথা, বমি বমি ভাব",50mg দিনে দুইবার,7.00,Available
Aspirin,অ্যাসপিরিন,Pain Relief,ব্যথা কমায় ও রক্ত পাতলা করে,"পেটে ব্যথা, রক্তক্ষরণ",75-150mg দিনে একবার,1.50,Available
